A10BJ02;liraglutiid;
A10BJ03;liksisenatiid;
A10BJ04;albiglutiid;
A10BJ05;dulaglutiid;
A10BJ06;semaglutiid;
A10BK;Naatriumi-glükoosi kotransporter 2 (SGLT2) inhibiitorid;
A10BK01;dapagliflosiin;
A10BK02;kanagliflosiin;
A10BK03;empagliflosiin;
A10BK04;ertugliflosiin;
A10BK06;sotagliflosiin;
A10BX;Teised vere glükoosisisaldust vähendavad ained, v.a insuliinid;
A10BX02;repagliniid;
A10BX03;nategliniid;
A10BX06;benfluoreks;
A10BX16;tirsepatiid;
A10X;TEISED DIABEEDI RAVIKS KASUTATAVAD AINED;
A10XA;Aldoosi reduktaasi inhibiitorid;
A11;VITAMIINID;
A11A;POLÜVITAMIINIDE KOMBINATSIOONID;
A11AA;Polüvitamiinid mineraalainetega;
A11AA03;multivitamiinid+mineraalained;
A11AA81;multivitamiinid+mineraalained+koliin;
A11AA83;multivitamiinid+kaltsiumvesinikfosfaat;
A11AA84;multivitamiinid+mineraalained+þenðenn;
A11AA86;multivitamiinid+raud+lääne-südamerohi+viirpuu;
A11AB;Teised polüvitamiinide kombinatsioonid;
A11B;POLÜVITAMIINID;
A11BA;Polüvitamiinid;
A11BA80;multivitamiinid;
A11C;VITAMIINID A JA D, NENDE OMAVAHELISED KOMBINATSIOONID;
A11CA;Vitamiin A;
A11CA01;retinool;
A11CA02;beetakaroteen;
A11CB;Vitamiinide A ja D kombinatsioonid;
A11CB80;retinool+ergokaltsiferool;
A11CB81;retinool+kolekaltsiferool+askorbiinhape;
A11CC;Vitamiin D ja selle analoogid;
A11CC01;ergokaltsiferool;
A11CC02;dihüdrotahhüsterool;
A11CC03;alfakaltsidool;
A11CC04;kaltsitriool;
A11CC05;kolekaltsiferool;
A11CC06;kaltsifediool;
A11D;VITAMIIN B1 JA SELLE KOMBINATSIOONID VITAMIINIDEGA B6 JA B12;
A11DA;Tiamiin (vitamiin B1);
A11DA01;tiamiin;
A11DA02;sulbutiamiin;
A11DA03;benfotiamiin;
A11DA81;benfotiamiin+püridoksiin+tsüanokobalamiin;
A11DB;Vitamiin B1 ja selle kombinatsioonid vitamiiniga B6 ja/või vitamiiniga B12;
A11DB80;tiamiin+püridoksiin;
A11DB81;benfotiamiin+püridoksiin;
A11DB83;benfotiamiin+tsüanokobalamiin;
A11DB84;tiamiin+püridoksiin+tsüanokobalamiin;
A11DB85;tiamiin+püridoksiin+tsüanokobalamiin+lidokaiin;
A11E;B-RÜHMA VITAMIINID, K.A KOMBINATSIOONID TEISTE AINETEGA;
A11EA;B-rühma vitamiinid;
A11EA80;tiamiin+nikotiinamiid+riboflaviin+kaltsiumpantotenaat+püridoksiin;
A11EA81;tiamiin+nikotiinamiid+riboflaviin+kaltsiumpantotenaat+püridoksiin+tsüanokobalamiin+biotiin;
A11EB;B-rühma vitamiinid vitamiiniga C;
A11EC;B-rühma vitamiinid mineraalainetega;
A11ED;B-rühma vitamiinid anaboolsete steroididega;
A11EX;B-rühma vitamiinide teised kombinatsioonid;
A11G;ASKORBIINHAPE (VITAMIIN C) JA SELLE KOMBINATSIOONID;
A11GA;Askorbiinhape (vitamiin C);
A11GA01;askorbiinhape;
A11GB;Askorbiinhappe (vitamiin C) kombinatsioonid;
A11GB02;askorbiinhape+rutosiid;
A11H;VITAMIINIDE TEISED PREPARAADID;
A11HA;Vitamiinide teised preparaadid;
A11HA01;nikotiinamiid;
A11HA02;püridoksiin;
A11HA03;tokoferool;
A11HA04;riboflaviin;
A11HA05;biotiin;
A11HA06;püridoksaalfosfaat;
A11HA08;tokofersolaan;
A11HA30;dekspantenool;
A11HA31;kaltsiumpantotenaat;
A11J;VITAMIINIDE TEISED KOMBINATSIOONID;
A11JA;Vitamiinide kombinatsioonid;
A11JA80;vitamiinide kombinatsioonid;
A11JA81;retinool+tokoferool;
A11JB;Vitamiinid mineraalainetega;
A11JB81;püridoksiin+magneesium;
A11JB82;tiamiin+riboflaviin+püridoksiin+tsüanokobalamiin+askorbiinhape+biotiin+nikotiinamiid+kaltsiumpantotenaat+kaltsium+magneesium+foolhape+tsink;
A11JC;Vitamiinide teised kombinatsioonid;
A11JC80;tiamiin+kaltsiumpantotenaat+pärmseente ekstrakt+tsüstiin+keratiin+4-aminobensoehape;
A11JC81;tiamiin+tokoferool+nikotiinamiid+riboflaviin+lüsiin+dekspantenool+kaltsium+kolekaltsiferool+püridoksiin+fosfor;
A12;MINERAALSED LISANDID;
A12A;KALTSIUM;
A12AA;Kaltsium;
A12AA02;kaltsiumglubionaat;
A12AA03;kaltsiumglükonaat;
A12AA04;kaltsiumkarbonaat;
A12AA05;kaltsiumlaktaat;
A12AA07;kaltsiumkloriid;
A12AA08;kaltsiumglütserofosfaat;
A12AA10;kaltsiumglükoheptonaat;
A12AA11;kaltsiumpangamaat;
A12AX;Kaltsiumi kombinatsioonid vitamiin D ja/või teiste ainetega;
A12AX80;kaltsium+kolekaltsiferool;
A12B;KAALIUM;
A12BA;Kaalium;
A12BA01;kaaliumkloriid;
A12BA02;kaaliumtsitraat;
A12BA80;kaaliumkloriid+kaaliumvesinikkarbonaat;
A12BA81;kaaliumaspartaat+magneesiumaspartaat;
A12BA82;kaaliumtsitraat+kaaliumvesinikkarbonaat;
A12C;TEISED MINERAALSED LISANDID;
A12CA;Naatrium;
A12CA01;naatriumkloriid;
A12CA02;naatriumsulfaat, veevaba;
A12CB;Tsink;
A12CB01;tsinksulfaat;
A12CB02;tsinkglükonaat;
A12CB80;tsinklaktaat+tokoferool+askorbiinhape+beetakaroteen+naatriumselenaat;
A12CC;Magneesium;
A12CC01;magneesiumkloriid;
A12CC02;magneesiumsulfaat;
A12CC04;magneesiumtsitraat;
A12CC05;magneesiumaspartaat;
A12CC06;magneesiumlaktaat;
A12CC09;magneesiumorotaat;
A12CC81;magneesiumvesiniktsitraat+magneesiumoksiid;
A12CD;Fluor;
A12CD01;naatriumfluoriid;
A12CD80;naatriumfluoriid+tinafluoriid;
A12CE;Seleen;
A12CE01;naatriumselenaat;
A12CE02;naatriumseleniit;
A12CX;Teised mineraalained;
A12CX81;alumiiniumklorohüdraat;
A12CX83;fosfaadid;
A13;TOONIKUMID;
A13A;TOONIKUMID;
A13AA;Toonikumid;
A14;ANABOOLSED AINED SÜSTEEMSEKS KASUTAMISEKS;
A14A;ANABOOLSED STEROIDID;
A14AA;Androstaani derivaadid;
A14AA01;androstanoloon;
A14AA02;stanosolool;
A14AA03;metandienoon;
A14AA04;metenoloon;
A14AA05;oksümetoloon;
A14AA06;kvinboloon;
A14AA07;prasteroon;
A14AA08;oksandroloon;
A14AA09;noretandroloon;
A14AB;Östreeni derivaadid;
A14AB01;nandroloon;
A14AB02;etüülestrenool;
A14AB03;oksaboloontsipionaat;
A14B;TEISED ANABOOLSED AINED;
A14BX;Teised anaboolsed ained;
A14BX80;riboksiin;
A15;SÖÖGIISU STIMULEERIVAD AINED;
A15A;SÖÖGIISU STIMULEERIVAD AINED;
A15AA;Söögiisu stimuleerivad ained;
A16;TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED;
A16A;TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED;
A16AA;Aminohapped ja nende derivaadid;
A16AA01;levokarnitiin;
A16AA02;ademetioniin;
A16AA03;glutamiin;
A16AA04;merkaptamiin;
A16AA05;kargluumhape;
